system:index,elevation,.geo
60,3207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64958333336267,39.49958333334153]}"
61,3226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64875000002934,39.49958333334153]}"
62,3247,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.647916666696,39.49958333334153]}"
63,3271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64708333336267,39.49958333334153]}"
64,3294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64625000002934,39.49958333334153]}"
65,3324,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64541666669601,39.49958333334153]}"
66,3358,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64458333336268,39.49958333334153]}"
67,3386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64375000002934,39.49958333334153]}"
68,3414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64291666669601,39.49958333334153]}"
69,3427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64208333336268,39.49958333334153]}"
70,3408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64125000002934,39.49958333334153]}"
71,3381,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.64041666669601,39.49958333334153]}"
72,3374,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63958333336268,39.49958333334153]}"
73,3383,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63875000002935,39.49958333334153]}"
74,3366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63791666669601,39.49958333334153]}"
75,3350,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63708333336268,39.49958333334153]}"
76,3337,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63625000002935,39.49958333334153]}"
77,3320,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63541666669602,39.49958333334153]}"
78,3315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63458333336268,39.49958333334153]}"
79,3311,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63375000002935,39.49958333334153]}"
80,3303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63291666669602,39.49958333334153]}"
81,3302,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63208333336269,39.49958333334153]}"
82,3306,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63125000002935,39.49958333334153]}"
83,3314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.63041666669602,39.49958333334153]}"
84,3332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62958333336269,39.49958333334153]}"
85,3354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62875000002934,39.49958333334153]}"
86,3373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62791666669601,39.49958333334153]}"
87,3387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62708333336268,39.49958333334153]}"
88,3397,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62625000002934,39.49958333334153]}"
89,3402,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62541666669601,39.49958333334153]}"
90,3413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62458333336268,39.49958333334153]}"
91,3429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62375000002935,39.49958333334153]}"
92,3444,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62291666669601,39.49958333334153]}"
93,3459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62208333336268,39.49958333334153]}"
94,3469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62125000002935,39.49958333334153]}"
95,3475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.62041666669602,39.49958333334153]}"
96,3485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61958333336268,39.49958333334153]}"
97,3495,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61875000002935,39.49958333334153]}"
98,3518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61791666669602,39.49958333334153]}"
99,3547,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61708333336269,39.49958333334153]}"
100,3572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61625000002935,39.49958333334153]}"
101,3598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61541666669602,39.49958333334153]}"
102,3641,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61458333336269,39.49958333334153]}"
103,3690,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61375000002936,39.49958333334153]}"
104,3741,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61291666669602,39.49958333334153]}"
105,3755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61208333336269,39.49958333334153]}"
106,3694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61125000002936,39.49958333334153]}"
107,3623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.61041666669603,39.49958333334153]}"
108,3553,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60958333336269,39.49958333334153]}"
109,3499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60875000002936,39.49958333334153]}"
110,3473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60791666669603,39.49958333334153]}"
111,3459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6070833333627,39.49958333334153]}"
112,3447,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60625000002936,39.49958333334153]}"
113,3442,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60541666669603,39.49958333334153]}"
114,3459,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6045833333627,39.49958333334153]}"
115,3488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60375000002936,39.49958333334153]}"
116,3509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60291666669603,39.49958333334153]}"
117,3523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.6020833333627,39.49958333334153]}"
118,3548,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60125000002937,39.49958333334153]}"
119,3576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.60041666669602,39.49958333334153]}"
120,3193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69958333336265,39.4987500000082]}"
121,3189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69875000002932,39.4987500000082]}"
122,3192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69791666669599,39.4987500000082]}"
123,3197,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69708333336266,39.4987500000082]}"
124,3201,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69625000002932,39.4987500000082]}"
125,3204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69541666669599,39.4987500000082]}"
126,3207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69458333336266,39.4987500000082]}"
127,3208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69375000002933,39.4987500000082]}"
128,3203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.692916666696,39.4987500000082]}"
129,3189,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69208333336266,39.4987500000082]}"
130,3167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.69125000002933,39.4987500000082]}"
131,3140,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.690416666696,39.4987500000082]}"
132,3113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68958333336266,39.4987500000082]}"
133,3069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68875000002933,39.4987500000082]}"
134,3033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.687916666696,39.4987500000082]}"
135,3013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68708333336266,39.4987500000082]}"
136,2975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68625000002933,39.4987500000082]}"
137,2940,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.685416666696,39.4987500000082]}"
138,2918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68458333336265,39.4987500000082]}"
139,2905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68375000002932,39.4987500000082]}"
140,2910,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68291666669599,39.4987500000082]}"
141,2934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68208333336266,39.4987500000082]}"
142,2954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68125000002932,39.4987500000082]}"
143,2966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.68041666669599,39.4987500000082]}"
144,2963,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67958333336266,39.4987500000082]}"
145,2942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67875000002932,39.4987500000082]}"
146,2925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67791666669599,39.4987500000082]}"
147,2916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67708333336266,39.4987500000082]}"
148,2911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67625000002933,39.4987500000082]}"
149,2904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.675416666696,39.4987500000082]}"
150,2889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67458333336266,39.4987500000082]}"
151,2870,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67375000002933,39.4987500000082]}"
152,2845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.672916666696,39.4987500000082]}"
153,2815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67208333336266,39.4987500000082]}"
154,2790,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.67125000002933,39.4987500000082]}"
155,2776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.670416666696,39.4987500000082]}"
156,2771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66958333336267,39.4987500000082]}"
157,2770,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66875000002933,39.4987500000082]}"
158,2772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.667916666696,39.4987500000082]}"
